,Max_depth,N_estimators,Confusion Matrix Split 81,Confusion Matrix Split 82,Confusion Matrix Split 83,Confusion Matrix Split 84,Confusion Matrix Split 85,Confusion Matrix Split 86,Confusion Matrix Split 87,Confusion Matrix Split 88,Confusion Matrix Split 89,Confusion Matrix Split 90
0,3,50,"[4, 1, 3, 2]","[2, 3, 2, 3]","[2, 3, 1, 4]","[4, 1, 1, 4]","[3, 2, 3, 2]","[5, 0, 2, 3]","[3, 2, 1, 3]","[1, 4, 4, 0]","[2, 2, 2, 3]","[1, 3, 1, 4]"
1,3,183,"[3, 2, 3, 2]","[2, 3, 2, 3]","[2, 3, 0, 5]","[4, 1, 1, 4]","[3, 2, 3, 2]","[5, 0, 0, 5]","[3, 2, 1, 3]","[1, 4, 3, 1]","[2, 2, 4, 1]","[2, 2, 1, 4]"
2,3,316,"[3, 2, 3, 2]","[2, 3, 2, 3]","[2, 3, 0, 5]","[4, 1, 1, 4]","[3, 2, 2, 3]","[5, 0, 0, 5]","[3, 2, 1, 3]","[1, 4, 3, 1]","[2, 2, 3, 2]","[2, 2, 1, 4]"
3,3,450,"[3, 2, 3, 2]","[2, 3, 2, 3]","[2, 3, 0, 5]","[4, 1, 1, 4]","[3, 2, 2, 3]","[5, 0, 0, 5]","[3, 2, 1, 3]","[1, 4, 3, 1]","[1, 3, 3, 2]","[2, 2, 1, 4]"
4,4,50,"[4, 1, 3, 2]","[3, 2, 2, 3]","[2, 3, 2, 3]","[4, 1, 1, 4]","[3, 2, 3, 2]","[5, 0, 2, 3]","[3, 2, 1, 3]","[3, 2, 4, 0]","[2, 2, 1, 4]","[1, 3, 2, 3]"
5,4,183,"[3, 2, 3, 2]","[2, 3, 2, 3]","[2, 3, 1, 4]","[4, 1, 1, 4]","[3, 2, 3, 2]","[5, 0, 0, 5]","[3, 2, 1, 3]","[1, 4, 3, 1]","[2, 2, 3, 2]","[1, 3, 2, 3]"
6,4,316,"[3, 2, 3, 2]","[2, 3, 2, 3]","[2, 3, 1, 4]","[4, 1, 1, 4]","[3, 2, 3, 2]","[5, 0, 0, 5]","[3, 2, 1, 3]","[1, 4, 3, 1]","[2, 2, 4, 1]","[2, 2, 2, 3]"
7,4,450,"[3, 2, 3, 2]","[2, 3, 2, 3]","[2, 3, 1, 4]","[4, 1, 1, 4]","[3, 2, 3, 2]","[5, 0, 0, 5]","[3, 2, 1, 3]","[1, 4, 3, 1]","[2, 2, 2, 3]","[2, 2, 1, 4]"
8,5,50,"[4, 1, 3, 2]","[3, 2, 2, 3]","[2, 3, 2, 3]","[4, 1, 1, 4]","[3, 2, 3, 2]","[5, 0, 1, 4]","[3, 2, 1, 3]","[4, 1, 4, 0]","[2, 2, 1, 4]","[1, 3, 2, 3]"
9,5,183,"[3, 2, 3, 2]","[2, 3, 2, 3]","[2, 3, 1, 4]","[4, 1, 1, 4]","[3, 2, 3, 2]","[5, 0, 0, 5]","[3, 2, 1, 3]","[3, 2, 3, 1]","[2, 2, 2, 3]","[1, 3, 2, 3]"
10,5,316,"[3, 2, 2, 3]","[2, 3, 2, 3]","[2, 3, 1, 4]","[4, 1, 1, 4]","[3, 2, 3, 2]","[5, 0, 1, 4]","[3, 2, 1, 3]","[2, 3, 3, 1]","[2, 2, 2, 3]","[2, 2, 2, 3]"
11,5,450,"[3, 2, 2, 3]","[2, 3, 2, 3]","[2, 3, 1, 4]","[4, 1, 1, 4]","[3, 2, 3, 2]","[5, 0, 1, 4]","[3, 2, 1, 3]","[2, 3, 3, 1]","[2, 2, 2, 3]","[2, 2, 2, 3]"
12,6,50,"[3, 2, 3, 2]","[3, 2, 2, 3]","[2, 3, 2, 3]","[4, 1, 1, 4]","[4, 1, 3, 2]","[5, 0, 2, 3]","[3, 2, 1, 3]","[4, 1, 4, 0]","[2, 2, 1, 4]","[1, 3, 2, 3]"
13,6,183,"[3, 2, 3, 2]","[2, 3, 2, 3]","[2, 3, 1, 4]","[4, 1, 1, 4]","[3, 2, 3, 2]","[5, 0, 1, 4]","[3, 2, 1, 3]","[3, 2, 4, 0]","[2, 2, 2, 3]","[1, 3, 2, 3]"
14,6,316,"[3, 2, 2, 3]","[2, 3, 2, 3]","[2, 3, 1, 4]","[4, 1, 1, 4]","[3, 2, 3, 2]","[5, 0, 0, 5]","[3, 2, 1, 3]","[2, 3, 3, 1]","[2, 2, 2, 3]","[2, 2, 2, 3]"
15,6,450,"[3, 2, 2, 3]","[2, 3, 2, 3]","[2, 3, 1, 4]","[4, 1, 1, 4]","[3, 2, 3, 2]","[5, 0, 1, 4]","[3, 2, 1, 3]","[2, 3, 3, 1]","[2, 2, 2, 3]","[2, 2, 2, 3]"
16,7,50,"[3, 2, 3, 2]","[3, 2, 2, 3]","[2, 3, 2, 3]","[4, 1, 1, 4]","[4, 1, 3, 2]","[5, 0, 2, 3]","[3, 2, 1, 3]","[4, 1, 4, 0]","[2, 2, 1, 4]","[1, 3, 2, 3]"
17,7,183,"[3, 2, 3, 2]","[2, 3, 2, 3]","[2, 3, 1, 4]","[4, 1, 1, 4]","[3, 2, 3, 2]","[5, 0, 0, 5]","[3, 2, 1, 3]","[3, 2, 4, 0]","[2, 2, 2, 3]","[1, 3, 2, 3]"
18,7,316,"[3, 2, 2, 3]","[2, 3, 2, 3]","[2, 3, 1, 4]","[4, 1, 1, 4]","[3, 2, 3, 2]","[5, 0, 0, 5]","[3, 2, 1, 3]","[2, 3, 3, 1]","[2, 2, 2, 3]","[2, 2, 2, 3]"
19,7,450,"[3, 2, 2, 3]","[2, 3, 2, 3]","[2, 3, 1, 4]","[4, 1, 1, 4]","[3, 2, 3, 2]","[5, 0, 0, 5]","[3, 2, 1, 3]","[2, 3, 3, 1]","[2, 2, 2, 3]","[2, 2, 2, 3]"
