,Max_depth,N_estimators,Confusion Matrix Split 41,Confusion Matrix Split 42,Confusion Matrix Split 43,Confusion Matrix Split 44,Confusion Matrix Split 45,Confusion Matrix Split 46,Confusion Matrix Split 47,Confusion Matrix Split 48,Confusion Matrix Split 49,Confusion Matrix Split 50
0,3,50,"[4, 1, 1, 4]","[5, 0, 3, 2]","[4, 1, 2, 3]","[1, 4, 3, 2]","[4, 1, 2, 3]","[5, 0, 1, 4]","[3, 2, 2, 2]","[4, 1, 3, 1]","[4, 0, 1, 4]","[1, 3, 1, 4]"
1,3,183,"[5, 0, 1, 4]","[5, 0, 4, 1]","[3, 2, 2, 3]","[1, 4, 2, 3]","[3, 2, 1, 4]","[5, 0, 1, 4]","[2, 3, 2, 2]","[4, 1, 1, 3]","[4, 0, 0, 5]","[1, 3, 1, 4]"
2,3,316,"[4, 1, 2, 3]","[5, 0, 4, 1]","[3, 2, 2, 3]","[1, 4, 2, 3]","[3, 2, 3, 2]","[5, 0, 1, 4]","[2, 3, 2, 2]","[4, 1, 2, 2]","[4, 0, 0, 5]","[1, 3, 1, 4]"
3,3,450,"[4, 1, 2, 3]","[5, 0, 4, 1]","[3, 2, 2, 3]","[1, 4, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[2, 3, 2, 2]","[4, 1, 2, 2]","[4, 0, 1, 4]","[1, 3, 1, 4]"
4,4,50,"[4, 1, 1, 4]","[5, 0, 3, 2]","[4, 1, 2, 3]","[1, 4, 2, 3]","[3, 2, 1, 4]","[5, 0, 1, 4]","[3, 2, 3, 1]","[4, 1, 3, 1]","[4, 0, 1, 4]","[1, 3, 2, 3]"
5,4,183,"[5, 0, 1, 4]","[5, 0, 4, 1]","[3, 2, 1, 4]","[1, 4, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[3, 2, 2, 2]","[4, 1, 1, 3]","[4, 0, 0, 5]","[1, 3, 1, 4]"
6,4,316,"[4, 1, 2, 3]","[5, 0, 4, 1]","[2, 3, 1, 4]","[1, 4, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[3, 2, 2, 2]","[4, 1, 1, 3]","[4, 0, 0, 5]","[1, 3, 1, 4]"
7,4,450,"[4, 1, 2, 3]","[5, 0, 4, 1]","[3, 2, 1, 4]","[1, 4, 2, 3]","[3, 2, 1, 4]","[5, 0, 1, 4]","[2, 3, 2, 2]","[4, 1, 2, 2]","[4, 0, 0, 5]","[1, 3, 2, 3]"
8,5,50,"[5, 0, 1, 4]","[5, 0, 3, 2]","[4, 1, 2, 3]","[1, 4, 2, 3]","[3, 2, 1, 4]","[5, 0, 1, 4]","[3, 2, 3, 1]","[3, 2, 3, 1]","[4, 0, 1, 4]","[1, 3, 1, 4]"
9,5,183,"[5, 0, 1, 4]","[5, 0, 4, 1]","[2, 3, 2, 3]","[1, 4, 2, 3]","[3, 2, 2, 3]","[5, 0, 1, 4]","[3, 2, 2, 2]","[4, 1, 2, 2]","[4, 0, 0, 5]","[1, 3, 1, 4]"
